Drug A,Drug B,nAB1,Lift,Conviction
Irinotecan hydrochloride hydrate,Sennosides,5,2.601,1.003
Brotizolam,Famotidine,3,2.509,1.001
Magnesium oxide,Rebamipide,4,2.501,1.002
Diclofenac sodium,Famotidine,3,2.263,1.001
Loxoprofen sodium hydrate,Magnesium oxide,3,2.182,1.001
Famotidine,Magnesium oxide,5,2.08,1.001
Lansoprazole,Prednisolone,3,2.034,1.001
Furosemide,Prednisolone,4,2.033,1.001
Prednisolone,Rebamipide,3,1.979,1.001
Famotidine,Furosemide,5,1.815,1.001
Famotidine,Methotrexate,3,1.554,1.001
Famotidine,Loxoprofen sodium hydrate,4,1.485,1.001
Tegafur/uracil,Teprenone,4,1.422,1.001
Famotidine,aspirin,3,1.361,1.0
Famotidine,Prednisolone,5,1.265,1.0
"Tegafur, gimeracil, and oteracil potassium combination drug",aspirin,4,1.203,1.0
